"Facility_Code","Facility_Name","Facility_Address","Lat","Long","City","State","Fac_Coords_Method"
"CAC","ADAMS COUNTY CORR CTR CCM",NA,NA,NA,NA,NA,NA
"CAT","ATLANTA CCM","719 MCDONOUGH BLVD S.E. ATLANTA, GA 30315",33.7118817336429,-84.3639063835144,"Atlanta","GA","BOP Official"
"CBR","BALTIMORE CCM","400 FIRST STREET, NW 5TH FLOORWASHINGTON, MD 20534",39.1202722744084,-76.7768490314484,"Washington","DC","BOP Official"
"CBS","BIG SPRING CCM",NA,NA,NA,NA,NA,NA
"CBN","BOSTON CCM",NA,NA,NA,NA,NA,NA
"CCF","CALIFORNIA CITY CCM",NA,NA,NA,NA,NA,NA
"CCH","CHICAGO CCM","1901 BUTTERFIELD ROAD, SUITE 130DOWNERS GROVE, IL 60515",41.879379047907,-87.6341253519058,"Downers Grove","IL","BOP Official"
"CCB","CIBOLA COUNTY CCM",NA,NA,NA,NA,NA,NA
"CCN","CINCINNATI CCM","36 E. 7TH ST., SUITE 2107-A CINCINNATI, OH 45202",39.1038571059181,-84.5123666524887,"Cincinnati","OH","BOP Official"
"CRJ","D. RAY JAMES CORR FCL CCM",NA,NA,NA,NA,NA,NA
"CDL","DALBY CCM",NA,NA,NA,NA,NA,NA
"CDA","DALLAS CCM","US ARMED FORCES RESERVE CMPL 344 MARINE FORCES DRGRAND PRAIRIE, TX 75051",32.8126700709092,-96.8138408660889,"Grand Prairie","TX","BOP Official"
"CDE","DENVER CCM",NA,NA,NA,NA,NA,NA
"CDT","DETROIT CCM","4026 E. ARKONA RD. MILAN, MI 48160",42.098907032881,-83.6695790290833,"Milan","MI","BOP Official"
"CDC","DIST OF COLUMBIA CCM",NA,NA,NA,NA,NA,NA
"CED","EDEN CCM",NA,NA,NA,NA,NA,NA
"CEP","EL PASO CCM",NA,NA,NA,NA,NA,NA
"CGP","GREAT PLAINS CCM",NA,NA,NA,NA,NA,NA
"CHN","HOUSTON CCM",NA,NA,NA,NA,NA,NA
"CKC","KANSAS CITY CCM","400 STATE AVE., RM 131 KANSAS CITY, KS 66101",39.1165431670471,-94.6196866035461,"Kansas City","KS","BOP Official"
"CLI","LIMESTONE CCM",NA,NA,NA,NA,NA,NA
"CLB","LONG BEACH CCM","1299 SEASIDE AVENUE SAN PEDRO, CA 90731",33.7270523232909,-118.268101215363,"San Pedro","CA","BOP Official"
"CMC","MCRAE CCM",NA,NA,NA,NA,NA,NA
"CMM","MIAMI CCM","401 N MIAMI AVENUE MIAMI, FL 33128",25.7780686313517,-80.1937687397003,"Miami","FL","BOP Official"
"CMI","MILWAUKEE CCM",NA,NA,NA,NA,NA,NA
"CMS","MINNEAPOLIS CCM","300 SOUTH 4TH ST, SUITE 1210 MINNEAPOLIS, MN 55415",44.9780504464372,-93.2656860351562,"Minneapolis","MN","BOP Official"
"CMY","MONTGOMERY CCM","MAXWELL AFB, BLDG 1209 820 WILLOW STREETMONTGOMERY, AL 36112",32.391966049057,-86.3558864593506,"Montgomery","AL","BOP Official"
"CMV","MOSHANNON VALLEY CCM",NA,NA,NA,NA,NA,NA
"CNV","NASHVILLE CCM","701 BROADWAY ST, SUITE 124 NASHVILLE, TN 37203",36.1583378589445,-86.7825508117676,"Nashville","TN","BOP Official"
"CNO","NEW ORLEANS CCM",NA,NA,NA,NA,NA,NA
"CNK","NEW YORK CCM","201 VARICK STREET ROOM 849NEW YORK, NY 10014",40.659887326379,-74.003015756607,"New York","NY","BOP Official"
"COR","ORLANDO CCM","6303 COUNTY ROAD 500 WILDWOOD, FL 34785",28.7596272113045,-82.001223564148,"Wildwood","FL","BOP Official"
"CPA","PHILADELPHIA CCM","2ND & CHESTNUT ST - 7TH FL PHILADELPHIA, PA 19106",39.9494079647906,-75.1457870006561,"Philadelphia","PA","BOP Official"
"CPH","PHOENIX CCM","230 N FIRST AVE, SUITE 405 PHOENIX, AZ 85003",33.451026,-112.07539,"Phoenix","AZ","BOP Official"
"CPG","PITTSBURGH CCM","1000 LIBERTY AVENUE,STE 1315 PITTSBURGH, PA 15222",40.4436321018236,-79.995242357254,"Pittsburgh","PA","BOP Official"
"CRL","RALEIGH CCM","OLD NC 75 HIGHWAY BUTNER, NC 27509",36.1445288570277,-78.7901365756989,"Butner","NC","BOP Official"
"CRE","REEVES CCM",NA,NA,NA,NA,NA,NA
"CRS","REEVES DC CCM",NA,NA,NA,NA,NA,NA
"CRV","RIVERS CCM",NA,NA,NA,NA,NA,NA
"CSC","SACRAMENTO CCM","501 I STREET, SUITE 9-400 SACRAMENTO, CA 95814",38.5835493472758,-121.498800516129,"Sacramento","CA","BOP Official"
"CSL","SALT LAKE CITY CCM",NA,NA,NA,NA,NA,NA
"CSA","SAN ANTONIO CCM","727 EAST CESAR E. CHAVEZ BLV SUITE B-138SAN ANTONIO, TX 78206",29.4175165513047,-98.4847390651703,"San Antonio","TX","BOP Official"
"CSE","SEATTLE CCM","2425 SOUTH 200 ST (AT FDC) SEATTLE, WA 98198",47.4227076,-122.3024917,"Seattle","WA","BOP Official"
"CST","ST LOUIS CCM","1222 SPRUCE ST, SUITE 6.101 ST LOUIS, MO 63103",38.6243852807294,-90.1998460292816,"Saint Louis","MO","BOP Official"
"CTF","TAFT CCM",NA,NA,NA,NA,NA,NA
"ACC","ADAMS COUNTY CORR CTR CI",NA,NA,NA,NA,NA,NA
"ALD","ALDERSON FPC","GLEN RAY RD. BOX A ALDERSON, WV 24910",37.7252776050592,-80.6584453582764,"Alderson","WV","BOP Official"
"ALI","ALICEVILLE FCI","11070 HIGHWAY 14 ALICEVILLE, AL 35442",33.1440552984503,-88.1669569015503,"Aliceville","AL","BOP Official"
"ALF","ALLENWOOD LOW FCI",NA,NA,NA,NA,NA,NA
"ALM","ALLENWOOD MED FCI",NA,NA,NA,NA,NA,NA
"ALP","ALLENWOOD USP",NA,NA,NA,NA,NA,NA
"ASH","ASHLAND FCI","ST. ROUTE 716 ASHLAND, KY 41105",38.4362619485065,-82.7013444900513,"Ashland","KY","BOP Official"
"ATL","ATLANTA USP","601 MCDONOUGH BLVD SE ATLANTA, GA 30315",33.711463,-84.371153,"Atlanta","GA","BOP Official"
"ATW","ATWATER USP","1 FEDERAL WAY ATWATER, CA 95301",37.3830993509196,-120.559093952179,"Atwater","CA","BOP Official"
"BAS","BASTROP FCI","1341 HIGHWAY 95 NORTH BASTROP, TX 78602",30.1929149655046,-97.3074638843536,"Bastrop","TX","BOP Official"
"BMA","BEAUMONT ADMIN",NA,NA,NA,NA,NA,NA
"BML","BEAUMONT LOW FCI","5560 KNAUTH ROAD BEAUMONT, TX 77705",29.9654297000091,-94.0810473552057,"Beaumont","TX","U.S. Census"
"BMM","BEAUMONT MED FCI","5830 KNAUTH ROAD BEAUMONT, TX 77705",29.9656845337392,-94.0809005487167,"Beaumont","TX","U.S. Census"
"BMP","BEAUMONT USP","6200 KNAUTH ROAD BEAUMONT, TX 77705",29.963740401582,-94.080853198417,"Beaumont","TX","U.S. Census"
"BEC","BECKLEY FCI","1600 INDUSTRIAL ROAD BEAVER, WV 25813",37.8082921055201,-81.1255574226379,"Beaver","WV","BOP Official"
"BEN","BENNETTSVILLE FCI","696 MUCKERMAN ROAD BENNETTSVILLE, SC 29512",34.6738762658827,-79.7246074676514,"Bennettsville","SC","BOP Official"
"BER","BERLIN FCI","1 SUCCESS LOOP ROAD BERLIN, NH 03570",44.5225496631612,-71.1376118659973,"Berlin","NH","BOP Official"
