"URL","Code","Fac_Name","Fac_Description","Fac_Address","Fac_Email","Fac_Phone","Fac_Pop_Gender","Fac_Pop_Count","Fac_County","Fac_Region"
"https://www.bop.gov/locations/institutions/ald/","ALD","FPC Alderson","A minimum security federal prison camp.","GLEN RAY RD. BOX A ALDERSON, WV 24910","ALD-ExecAssistant-S@bop.gov","304-445-3300","Female",776,"GREENBRIER","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/alf/","ALF","FCI Allenwood Low","A low security federal correctional institution.","RT 15,2 MILES N OF ALLENWOOD ALLENWOOD, PA 17810","ALX-ExecAssistant-S@bop.gov","570-547-1990","Male",1032,"UNION","Northeast Region"
"https://www.bop.gov/locations/institutions/alm/","ALM","FCI Allenwood Medium","A medium security federal correctional institution.","RT 15, 2 MI N OF ALLENWOOD WHITE DEER, PA 17810","ALX-ExecAssistant-S@bop.gov","570-547-7950","Male",1255,"Union","Northeast Region"
"https://www.bop.gov/locations/institutions/alp/","ALP","USP Allenwood","A high security U.S. penitentiary.","RT 15,2 MILES N OF ALLENWOOD ALLENWOOD, PA 17810","ALX-ExecAssistant-S@bop.gov","570-547-0963","Male",196,"Union","Northeast Region"
"https://www.bop.gov/locations/institutions/ash/","ASH","FCI Ashland","A low security federal correctional institution with an adjacent minimum security satellite camp.","ST. ROUTE 716 ASHLAND, KY 41105","ASH-ExecAssistant-S@bop.gov","606-928-6414","Male",1353,"BOYD","Mid-Atlantic Region"
"https://www.bop.gov/locations/ccm/cat","CAT","RRM Atlanta","A Residential Reentry Management (RRM) field office.","719 MCDONOUGH BLVD S.E. ATLANTA, GA 30315","CAT-CCM-S@bop.gov","470-832-5841",NA,NA,"FULTON","Southeast Region"
"https://www.bop.gov/locations/institutions/atw/","ATW","USP Atwater","A high security U.S. penitentiary with an adjacent minimum security satellite camp.","1 FEDERAL WAY ATWATER, CA 95301","ATW-ExecAssistant-S@bop.gov","209-386-0257","Male",1223,"MERCED","Western Region"
"https://www.bop.gov/locations/ccm/cbr/","CBR","RRM Baltimore","A Residential Reentry Management (RRM) field office.","400 FIRST STREET, NW 5TH FLOORWASHINGTON, MD 20534","CBR-CCM-S@bop.gov","202-428-6161",NA,NA,NA,"Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/bas/","BAS","FCI Bastrop","A low security federal correctional institution with an adjacent minimum security satellite camp.","1341 HIGHWAY 95 NORTH BASTROP, TX 78602","BAS-ExecAssistant-S@bop.gov","512-321-3903","Male",1100,"Bastrop","South Central Region"
"https://www.bop.gov/locations/institutions/bmm/","BMM","FCI Beaumont Medium","A medium security federal correctional institution.","5830 KNAUTH ROAD BEAUMONT, TX 77705","BMX-ExecAssistant-S@bop.gov","409-727-0101","Male",1627,"Jefferson","South Central Region"
"https://www.bop.gov/locations/institutions/bmp/","BMP","USP Beaumont","A high security U.S. penitentiary.","6200 KNAUTH ROAD BEAUMONT, TX 77705","BMX-ExecAssistant-S@bop.gov","409-727-8188","Male",1272,"Jefferson","South Central Region"
"https://www.bop.gov/locations/institutions/bec/","BEC","FCI Beckley","A medium security federal correctional institution with an adjacent minimum security satellite camp.","1600 INDUSTRIAL ROAD BEAVER, WV 25813","BEC-ExecAssistant-S@bop.gov","304-252-9758","Male",1703,"Raleigh","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/ben/","BEN","FCI Bennettsville","A medium security federal correctional institution with an adjacent minimum security satellite camp.","696 MUCKERMAN ROAD BENNETTSVILLE, SC 29512","BEN-ExecAssistant-S@bop.gov","843-454-8200","Male",1659,"Marlboro","Southeast Region"
"https://www.bop.gov/locations/institutions/ber/","BER","FCI Berlin","A medium security federal correctional institution with an adjacent minimum security satellite camp.","1 SUCCESS LOOP ROAD BERLIN, NH 03570","BER-Execassistant-S@bop.gov","603-342-4000","Male",902,"COOS COUNTY","Northeast Region"
"https://www.bop.gov/locations/institutions/bsy/","BSY","USP Big Sandy","A high security U.S. penitentiary with an adjacent minimum security satellite camp.","1197 AIRPORT ROAD INEZ, KY 41224","BSY-ExecAssistant-S@bop.gov","606-433-2400","Male",1313,"Martin","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/big/","BIG","FCI Big Spring","A low security federal correctional institution with an adjacent minimum security satellite camp.","1900 SIMLER AVE BIG SPRING, TX 79720","BIG-ExecAssistant-S@bop.gov","432-466-2300","Male",842,"HOWARD","South Central Region"
"https://www.bop.gov/locations/institutions/bro/","BRO","MDC Brooklyn","An administrative security metropolitan detention center.","80 29TH STREET BROOKLYN, NY 11232","BRO-ExecAssistant-S@bop.gov","718-840-4200","Male and Female",1316,"KINGS","Northeast Region"
"https://www.bop.gov/locations/institutions/bry/","BRY","FPC Bryan","A minimum security federal prison camp.","1100 URSULINE AVENUE BRYAN, TX 77803","BRY-PublicInformation-S@bop.gov","979-823-1879","Female",663,"BRAZOS","South Central Region"
"https://www.bop.gov/locations/institutions/buf/","BUF","FCI Butner Low","A low security federal correctional institution.","OLD NC HWY 75 BUTNER, NC 27509","BUX-ExecAssistant-S@bop.gov","919-575-5000","Male",1001,"GRANVILLE","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/but/","BUT","FCI Butner Medium I","A medium security federal correctional institution with an adjacent minimum security satellite camp.","OLD NC HWY 75 BUTNER, NC 27509","BUX-ExecAssistant-S@bop.gov","919-575-4541","Male",863,"GRANVILLE","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/btf/","BTF","FCI Butner Medium II","A medium security federal correctional institution.","OLD NC HWY 75 BUTNER, NC 27509","BUX-ExecAssistant-S@bop.gov","919-575-8000","Male",1587,"GRANVILLE","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/buh/","BUH","FMC Butner","An administrative security federal medical center.","OLD N. CAROLINA HWY 75 BUTNER, NC 27509","BUX-ExecAssistant-S@bop.gov","919-575-3900","Male",863,"Granville","Mid-Atlantic Region"
"https://www.bop.gov/locations/institutions/caa/","CAA","USP Canaan","A high security U.S. penitentiary with an adjacent minimum security satellite camp.","3057 ERIC J. WILLIAMS MEMORIAL DRIVEWAYMART, PA 18472","CAA-ExecAssistant-S@bop.gov","570-488-8000","Male",1321,"WAYNE","Northeast Region"
"https://www.bop.gov/locations/institutions/crw/","CRW","FMC Carswell","An administrative security federal medical center with an adjacent minimum security satellite camp.","NAVAL AIR STATION J ST BLDG 3000FORT WORTH, TX 76127","CRW-ExecAssistant-S@bop.gov","817-782-4000","Female",1132,"TARRANT","South Central Region"
"https://www.bop.gov/locations/central_office/","CENTRAL_OFFICE","Central Office","The Bureau of Prisons' headquarters.","320 FIRST STREET, NWWASHINGTON, DC 20534","info@bop.gov","202-307-3198",NA,NA,NA,NA
"https://www.bop.gov/locations/institutions/ccc/","CCC","MCC Chicago","An administrative security metropolitan correctional center.","71 WEST VAN BUREN STREET CHICAGO, IL 60605","CCC-ExecAssistant-S@bop.gov","312-322-0567","Male and Female",523,"COOK","North Central Region"
"https://www.bop.gov/locations/institutions/com/","COM","FCI Coleman Medium","A medium security federal correctional institution.","846 NE 54TH TERRACE SUMTERVILLE, FL 33521","COA-PublicInformation-S@bop.gov","352-689-5000","Male",1568,"SUMTER","Southeast Region"
"https://www.bop.gov/locations/institutions/cum/","CUM","FCI Cumberland","A medium security federal correctional institution with an adjacent minimum security satellite camp.","14601 BURBRIDGE RD SE CUMBERLAND, MD 21502","CUM-ExecAssistant-S@bop.gov","301-784-1000","Male",1023,"Allegany","Mid-Atlantic Region"
