code,primary_num,primary_desc,secondary_alpha,secondary_desc
10A,10,TRANSFER - REQUEST/OBJECTION,A,TRANSFER FOR PROTECTION REASONS
10B,10,TRANSFER - REQUEST/OBJECTION,B,TRANSFER FOR MEDICAL REASONS
10C,10,TRANSFER - REQUEST/OBJECTION,C,TRANSFER FOR RELEASE DESTINATION
10D,10,TRANSFER - REQUEST/OBJECTION,D,TRANSFER FOR PROGRAM PARTICIPATION
10Z,10,TRANSFER - REQUEST/OBJECTION,Z,TRANSFER - OTHER
11A,11,"EDUCATION, RECREATION, LEISURE",A,ADULT BASIC EDUCATION (ABE)
11B,11,"EDUCATION, RECREATION, LEISURE",B,SECONDARY EDUCATION (GED)
11C,11,"EDUCATION, RECREATION, LEISURE",C,POST-SECONDARY EDUCATION (PSE)
11D,11,"EDUCATION, RECREATION, LEISURE",D,VOCATIONAL TRAINING
11E,11,"EDUCATION, RECREATION, LEISURE",E,LIBRARY SERVICES (EXCEPT LAW LIBRARY)
11F,11,"EDUCATION, RECREATION, LEISURE",F,INMATE ORGANIZATIONS
11G,11,"EDUCATION, RECREATION, LEISURE",G,"RECREATION, LEISURE ACTIVITIES"
11Z,11,"EDUCATION, RECREATION, LEISURE",Z,EDUCATION - OTHER
12A,12,WORK ASSIGNMENTS,A,"UNICOR - ASSIGNMENT, WORKING CONDITIONS"
12B,12,WORK ASSIGNMENTS,B,"UNICOR - GRADE, PAY, PROMOTION, BENEFITS"
12C,12,WORK ASSIGNMENTS,C,UNICOR - WAITING LIST
12D,12,WORK ASSIGNMENTS,D,"INSTITUTION JOB - ASSIGNMENT, JOB COMPLAINT"
12E,12,WORK ASSIGNMENTS,E,"PERFORMANCE PAY, MGT., BENEFITS"
12Y,12,WORK ASSIGNMENTS,Y,UNICOR WORK ASSIGNMENT - OTHER
12Z,12,WORK ASSIGNMENTS,Z,INSTITUTION WORK ASSIGNMENT - OTHER
13A,13,CLASSIFICATION MATTERS,A,CLASSIFICATION/PROGRAM REVIEWS
13B,13,CLASSIFICATION MATTERS,B,SECURITY/CUSTODY CLASSIFICATION - EXCEPT PSF APPEALS
13C,13,CLASSIFICATION MATTERS,C,CENTRAL INMATE MONITORING - SEPARATION
13D,13,CLASSIFICATION MATTERS,D,CENTRAL INMATE MONITORING - EXCEPT SEPARATION
13E,13,CLASSIFICATION MATTERS,E,PROGRESS REPORTS
13F,13,CLASSIFICATION MATTERS,F,RESTORATION OF STATUTORY GOOD TIME
13G,13,CLASSIFICATION MATTERS,G,COMPASSIONATE RELEASE REQUEST
13H,13,CLASSIFICATION MATTERS,H,HOUSING ASSIGNMENT (EXCEPT SPECIAL HOUSING UNITS)
13I,13,CLASSIFICATION MATTERS,I,PUBLIC SAFETY FACTOR APPEALS
13J,13,CLASSIFICATION MATTERS,J,WALSH ACT CLASSIFICATION
13K,13,CLASSIFICATION MATTERS,K,INITIAL DESIGNATION DECISION
13L,13,CLASSIFICATION MATTERS,L,COMPASSIONATE RELEASE REQUEST - OTHER/NON-MEDICAL
13Z,13,CLASSIFICATION MATTERS,Z,OTHER CLASSIFICATION MATTERS
14A,14,CONTROL UNIT,A,CONTROL UNIT PLACEMENT
14B,14,CONTROL UNIT,B,CONTROL UNIT REVIEWS
14C,14,CONTROL UNIT,C,CONTROL UNIT RELEASE
14G,14,CONTROL UNIT,G,ADX GENERAL POPULATION – INITIAL PLACEMENT
14H,14,CONTROL UNIT,H,SECURE MENTAL HEALTH UNIT/STEP DOWN PROGRAM
14Z,14,CONTROL UNIT,Z,CONTROL UNIT - OTHER
15A,15,"PROGRAMS, INSTITUTION",A,INMATE FINANCIAL RESPONSIBILITY
15B,15,"PROGRAMS, INSTITUTION",B,RELIGIOUS PROGRAMS (EXCEPT FOOD/DIETS/MEALS) - ACCESS TO
15C,15,"PROGRAMS, INSTITUTION",C,RELIGIOUS DIET: CERTIFIED/NON-FLESH ALTERNATIVES - ACCESS TO
15D,15,"PROGRAMS, INSTITUTION",D,SUBSTANCE ABUSE PROGRAMS
15E,15,"PROGRAMS, INSTITUTION",E,RESEARCH/GENETIC TESTING PROGRAMS
15F,15,"PROGRAMS, INSTITUTION",F,SPECIAL CONFINEMENT UNIT
15G,15,"PROGRAMS, INSTITUTION",G,RELIGIOUS RITUALS
15H,15,"PROGRAMS, INSTITUTION",H,COMMUNICATION MANAGEMENT  UNIT
15I,15,"PROGRAMS, INSTITUTION",I,SPECIAL MANAGEMENT UNIT
15Z,15,"PROGRAMS, INSTITUTION",Z,OTHER INSTITUTION PROGRAMS
16A,16,MAIL COMMUNICATION,A,INCOMING PUBLICATIONS (INCL. REJECTION OR CONFISCATION)
16B,16,MAIL COMMUNICATION,B,CORRESPONDENCE - REJECTION OR CONFISCATION
16C,16,MAIL COMMUNICATION,C,"PACKAGES - APPROVAL, DENIAL, REJECTION, ETC."
16D,16,MAIL COMMUNICATION,D,"ENCLOSURES - APPROVAL, REJECTION, CONFISCATION, ETC."
16E,16,MAIL COMMUNICATION,E,RESTRICTED MAIL
16F,16,MAIL COMMUNICATION,F,POSTAGE
16G,16,MAIL COMMUNICATION,G,TRULINCS
16Z,16,MAIL COMMUNICATION,Z,OTHER MAIL COMPLAINTS
17A,17,COMMUNICATION-OTHER THAN MAIL,A,PHONE CALLS (EXCEPT LEGAL CALLS)
17B,17,COMMUNICATION-OTHER THAN MAIL,B,MARRIAGE
17C,17,COMMUNICATION-OTHER THAN MAIL,C,NEWS MEDIA CONTACTS
17L,17,COMMUNICATION-OTHER THAN MAIL,L,PHONE CALLS - 300 MIN. LIMITATION CONCERNS
17Z,17,COMMUNICATION-OTHER THAN MAIL,Z,OTHER NON-MAIL COMMUNICATION
18A,18,VISITING,A,VISITING LIST
18B,18,VISITING,B,VISITING TIME AND CONDITIONS
18C,18,VISITING,C,VISIT RELATED SEARCHES
18D,18,VISITING,D,ION SPECTROMETRY PROGRAM
18Z,18,VISITING,Z,OTHER VISITING COMPLAINTS
19A,19,COMMUNITY/PRE-RELEASE PROGRAMS,A,FURLOUGHS - SOCIAL
19B,19,COMMUNITY/PRE-RELEASE PROGRAMS,B,FURLOUGHS - OTHER
19C,19,COMMUNITY/PRE-RELEASE PROGRAMS,C,WORK/STUDY RELEASE
19D,19,COMMUNITY/PRE-RELEASE PROGRAMS,D,ESCORTED TRIPS
19E,19,COMMUNITY/PRE-RELEASE PROGRAMS,E,"RELEASE PLANS - APPROVAL, GRATUITY, SUPERVISION"
19F,19,COMMUNITY/PRE-RELEASE PROGRAMS,F,RESIDENTIAL REENTRY CENTER REFERRALS
19G,19,COMMUNITY/PRE-RELEASE PROGRAMS,G,CORRECTIONS COMPONENT ISSUES
19H,19,COMMUNITY/PRE-RELEASE PROGRAMS,H,ELDERLY OFFENDER HOME DETENTION PROGRAM
19Z,19,COMMUNITY/PRE-RELEASE PROGRAMS,Z,OTHER COMMUNITY PROGRAMS
20A,20,DHO/CDC/CONT. HOUSING APPEALS,A,DHO APPEAL - PROCEDURES
20B,20,DHO/CDC/CONT. HOUSING APPEALS,B,DHO APPEAL - EVIDENCE
20C,20,DHO/CDC/CONT. HOUSING APPEALS,C,DHO APPEAL - SANCTION
20D,20,DHO/CDC/CONT. HOUSING APPEALS,D,"DHO APPEAL - COMBINED (PROCEDURES, EVIDENCE & SANCTIONS)"
20E,20,DHO/CDC/CONT. HOUSING APPEALS,E,CONTRACT COMM. CORR. CTR. DISCIPLINE - MAJOR SANCTIONS
